specimen.tag,species,study,microhabitat,sex,SVL,leg.length,live.mass,pr.mass,pr.leg.muscle.mass,jump.maxvel,jump.maxacc,swim.maxvel,swim.maxacc
USNM-435236,Acris crepitans,Moen et al. 2016,terrestrial,m,17.81,32.4,NA,0.451,0.074,NA,NA,NA,NA
USNM-435237,Acris crepitans,Moen et al. 2016,terrestrial,m,18.57,36.15,NA,0.495,0.088,NA,NA,NA,NA
USNM-435242,Acris crepitans,Moen et al. 2016,terrestrial,m,18.82,34.62,NA,0.502,0.086,NA,NA,NA,NA
USNM-435244,Acris crepitans,Moen et al. 2016,terrestrial,m,19.32,36.8,NA,0.556,0.102,NA,NA,NA,NA
USNM-435258,Acris crepitans,Moen et al. 2016,terrestrial,m,17.6,33.55,NA,0.431,0.07,NA,NA,NA,NA
USNM-526326,Acris gryllus,Moen et al. 2016,terrestrial,m,18.46,35.42,NA,0.521,0.078,NA,NA,NA,NA
USNM-526330,Acris gryllus,Moen et al. 2016,terrestrial,m,19.94,35.73,NA,0.699,0.1,NA,NA,NA,NA
USNM-526372,Acris gryllus,Moen et al. 2016,terrestrial,m,20.98,39.83,NA,0.805,0.098,NA,NA,NA,NA
USNM-526380,Acris gryllus,Moen et al. 2016,terrestrial,m,20.6,38.24,NA,0.704,0.09,NA,NA,NA,NA
USNM-526386,Acris gryllus,Moen et al. 2016,terrestrial,m,19.98,40.14,NA,0.76,0.098,NA,NA,NA,NA
USNM-222256,Adenomera andreae,Moen et al. 2016,terrestrial,m,20.43,34.56,NA,0.584,0.098,NA,NA,NA,NA
USNM-222257,Adenomera andreae,Moen et al. 2016,terrestrial,m,21.39,36.73,NA,0.63,0.096,NA,NA,NA,NA
USNM-222259,Adenomera andreae,Moen et al. 2016,terrestrial,m,21.35,35.74,NA,0.7,0.106,NA,NA,NA,NA
USNM-222260,Adenomera andreae,Moen et al. 2016,terrestrial,m,21.25,34.42,NA,0.537,0.082,NA,NA,NA,NA
USNM-222261,Adenomera andreae,Moen et al. 2016,terrestrial,m,22.16,36.46,NA,0.659,0.108,NA,NA,NA,NA
DSM-0131,Adenomera hylaedactyla,Moen et al. 2013,terrestrial,m,23.06,39.99,1.143333333,0.867,0.142,2.03544,91.396801,0.884211,29.323662
DSM-0177,Adenomera hylaedactyla,Moen et al. 2013,terrestrial,m,22.69,40.01,0.943333333,0.793,0.11,1.795,88.824933,0.656937,17.98642
DSM-0178,Adenomera hylaedactyla,Moen et al. 2013,terrestrial,f,25.77,43.64,1.636666667,1.479,0.224,2.19134,83.355672,0.753092,17.441757
DSM-0180,Adenomera hylaedactyla,Moen et al. 2013,terrestrial,f,25.51,42.61,1.476666667,1.305,0.238,2.362948,103.925295,0.799119,20.511204
DSM-0186,Adenomera hylaedactyla,Moen et al. 2013,terrestrial,m,25.38,43.58,1.566666667,1.349,0.204,2.13088,82.9016,1.111737,29.003851
CAS-202032,Afrixalus laevis,Moen et al. 2016,arboreal,m,20.81,33.54,NA,0.622,0.048,NA,NA,NA,NA
CAS-202033,Afrixalus laevis,Moen et al. 2016,arboreal,m,21.17,34.32,NA,0.571,0.04,NA,NA,NA,NA
CAS-202035,Afrixalus laevis,Moen et al. 2016,arboreal,m,21.93,35.43,NA,0.61,0.042,NA,NA,NA,NA
CAS-202106,Afrixalus laevis,Moen et al. 2016,arboreal,m,20.03,34.32,NA,0.501,0.038,NA,NA,NA,NA
CAS-202108,Afrixalus laevis,Moen et al. 2016,arboreal,m,20.48,34.06,NA,0.517,0.038,NA,NA,NA,NA
MCZ-A119870,Aglyptodactylus madagascariensis,Moen et al. 2016,terrestrial,m,38.69,81.44,NA,4.46,0.824,NA,NA,NA,NA
MCZ-A119872,Aglyptodactylus madagascariensis,Moen et al. 2016,terrestrial,m,38.51,74.5,NA,4.023,0.704,NA,NA,NA,NA
MCZ-A119888,Aglyptodactylus madagascariensis,Moen et al. 2016,terrestrial,m,39.46,81.06,NA,5.216,1.016,NA,NA,NA,NA
MCZ-A119892,Aglyptodactylus madagascariensis,Moen et al. 2016,terrestrial,m,39.1,74.64,NA,3.769,0.696,NA,NA,NA,NA
MCZ-A119895,Aglyptodactylus madagascariensis,Moen et al. 2016,terrestrial,m,35.66,75.84,NA,3.78,0.676,NA,NA,NA,NA
DSM-0113,Allobates femoralis,Moen et al. 2013,terrestrial,m,26.96,41.64,1.76,1.637,0.244,2.263977,114.541696,0.90641,22.740502
